,Matchup,AI Wins_v3,Opponent Wins_v3,AI Win Rate_v3,Opponent Win Rate_v3,Result_v3,AI Wins_v4,Opponent Wins_v4,AI Win Rate_v4,Opponent Win Rate_v4,Result_v4,Better Version
0,Classic+GreedyCardSpammer,0,20,0.0,100.0,Loss,18,2,90.0,10.0,Win,V4
1,Classic+RandomAgent,7,13,35.0,65.0,Loss,10,10,50.0,50.0,Draw,V4
2,Classic+SelectiveTableConservativeChallenger,16,4,80.0,20.0,Win,18,2,90.0,10.0,Win,V4
3,Classic+StrategicChallenger,5,15,25.0,75.0,Loss,14,6,70.0,30.0,Win,V4
4,Classic+TableFirstConservativeChallenger,13,7,65.0,35.0,Win,19,1,95.0,5.0,Win,V4
5,Classic+TableNonTableAgent,3,17,15.0,85.0,Loss,18,2,90.0,10.0,Win,V4
6,Classic+Version_A_player_2,12,8,60.0,40.0,Win,9,11,45.0,55.0,Loss,V3
7,Classic+Version_C_player_0,11,9,55.0,45.0,Win,11,9,55.0,45.0,Win,Draw
8,Classic+Version_E_player_1,9,11,45.0,55.0,Loss,11,9,55.0,45.0,Win,V4
9,GreedyCardSpammer+Classic,20,0,100.0,0.0,Win,18,2,90.0,10.0,Win,V3
10,GreedyCardSpammer+RandomAgent,13,7,65.0,35.0,Win,10,10,50.0,50.0,Draw,V3
11,GreedyCardSpammer+SelectiveTableConservativeChallenger,20,0,100.0,0.0,Win,19,1,95.0,5.0,Win,V3
12,GreedyCardSpammer+StrategicChallenger,17,3,85.0,15.0,Win,20,0,100.0,0.0,Win,V4
13,GreedyCardSpammer+TableFirstConservativeChallenger,19,1,95.0,5.0,Win,16,4,80.0,20.0,Win,V3
14,GreedyCardSpammer+TableNonTableAgent,20,0,100.0,0.0,Win,19,1,95.0,5.0,Win,V3
15,GreedyCardSpammer+Version_A_player_2,15,5,75.0,25.0,Win,18,2,90.0,10.0,Win,V4
16,GreedyCardSpammer+Version_C_player_0,15,5,75.0,25.0,Win,16,4,80.0,20.0,Win,V4
17,GreedyCardSpammer+Version_E_player_1,18,2,90.0,10.0,Win,15,5,75.0,25.0,Win,V3
18,RandomAgent+Classic,16,4,80.0,20.0,Win,9,11,45.0,55.0,Loss,V3
19,RandomAgent+GreedyCardSpammer,13,7,65.0,35.0,Win,10,10,50.0,50.0,Draw,V3
20,RandomAgent+SelectiveTableConservativeChallenger,12,8,60.0,40.0,Win,10,10,50.0,50.0,Draw,V3
21,RandomAgent+StrategicChallenger,14,6,70.0,30.0,Win,15,5,75.0,25.0,Win,V4
22,RandomAgent+TableFirstConservativeChallenger,17,3,85.0,15.0,Win,9,11,45.0,55.0,Loss,V3
23,RandomAgent+TableNonTableAgent,16,4,80.0,20.0,Win,11,9,55.0,45.0,Win,V3
24,RandomAgent+Version_A_player_2,16,4,80.0,20.0,Win,4,16,20.0,80.0,Loss,V3
25,RandomAgent+Version_C_player_0,7,13,35.0,65.0,Loss,6,14,30.0,70.0,Loss,V3
26,RandomAgent+Version_E_player_1,7,13,35.0,65.0,Loss,4,16,20.0,80.0,Loss,V3
27,SelectiveTableConservativeChallenger+Classic,18,2,90.0,10.0,Win,18,2,90.0,10.0,Win,Draw
28,SelectiveTableConservativeChallenger+GreedyCardSpammer,18,2,90.0,10.0,Win,16,4,80.0,20.0,Win,V3
29,SelectiveTableConservativeChallenger+RandomAgent,13,7,65.0,35.0,Win,13,7,65.0,35.0,Win,Draw
30,SelectiveTableConservativeChallenger+StrategicChallenger,18,2,90.0,10.0,Win,18,2,90.0,10.0,Win,Draw
31,SelectiveTableConservativeChallenger+TableFirstConservativeChallenger,18,2,90.0,10.0,Win,20,0,100.0,0.0,Win,V4
32,SelectiveTableConservativeChallenger+TableNonTableAgent,19,1,95.0,5.0,Win,20,0,100.0,0.0,Win,V4
33,SelectiveTableConservativeChallenger+Version_A_player_2,16,4,80.0,20.0,Win,13,7,65.0,35.0,Win,V3
34,SelectiveTableConservativeChallenger+Version_C_player_0,15,5,75.0,25.0,Win,13,7,65.0,35.0,Win,V3
35,SelectiveTableConservativeChallenger+Version_E_player_1,16,4,80.0,20.0,Win,15,5,75.0,25.0,Win,V3
36,StrategicChallenger+Classic,16,4,80.0,20.0,Win,10,10,50.0,50.0,Draw,V3
37,StrategicChallenger+GreedyCardSpammer,14,6,70.0,30.0,Win,20,0,100.0,0.0,Win,V4
38,StrategicChallenger+RandomAgent,16,4,80.0,20.0,Win,13,7,65.0,35.0,Win,V3
39,StrategicChallenger+SelectiveTableConservativeChallenger,19,1,95.0,5.0,Win,20,0,100.0,0.0,Win,V4
40,StrategicChallenger+TableFirstConservativeChallenger,18,2,90.0,10.0,Win,19,1,95.0,5.0,Win,V4
41,StrategicChallenger+TableNonTableAgent,15,5,75.0,25.0,Win,20,0,100.0,0.0,Win,V4
42,StrategicChallenger+Version_A_player_2,15,5,75.0,25.0,Win,7,13,35.0,65.0,Loss,V3
43,StrategicChallenger+Version_C_player_0,13,7,65.0,35.0,Win,5,15,25.0,75.0,Loss,V3
44,StrategicChallenger+Version_E_player_1,17,3,85.0,15.0,Win,10,10,50.0,50.0,Draw,V3
45,TableFirstConservativeChallenger+Classic,19,1,95.0,5.0,Win,16,4,80.0,20.0,Win,V3
46,TableFirstConservativeChallenger+GreedyCardSpammer,17,3,85.0,15.0,Win,17,3,85.0,15.0,Win,Draw
47,TableFirstConservativeChallenger+RandomAgent,14,6,70.0,30.0,Win,8,12,40.0,60.0,Loss,V3
48,TableFirstConservativeChallenger+SelectiveTableConservativeChallenger,20,0,100.0,0.0,Win,20,0,100.0,0.0,Win,Draw
49,TableFirstConservativeChallenger+StrategicChallenger,19,1,95.0,5.0,Win,15,5,75.0,25.0,Win,V3
50,TableFirstConservativeChallenger+TableNonTableAgent,20,0,100.0,0.0,Win,20,0,100.0,0.0,Win,Draw
51,TableFirstConservativeChallenger+Version_A_player_2,15,5,75.0,25.0,Win,15,5,75.0,25.0,Win,Draw
52,TableFirstConservativeChallenger+Version_C_player_0,12,8,60.0,40.0,Win,16,4,80.0,20.0,Win,V4
53,TableFirstConservativeChallenger+Version_E_player_1,16,4,80.0,20.0,Win,16,4,80.0,20.0,Win,Draw
54,TableNonTableAgent+Classic,18,2,90.0,10.0,Win,17,3,85.0,15.0,Win,V3
55,TableNonTableAgent+GreedyCardSpammer,20,0,100.0,0.0,Win,17,3,85.0,15.0,Win,V3
56,TableNonTableAgent+RandomAgent,16,4,80.0,20.0,Win,7,13,35.0,65.0,Loss,V3
57,TableNonTableAgent+SelectiveTableConservativeChallenger,19,1,95.0,5.0,Win,18,2,90.0,10.0,Win,V3
58,TableNonTableAgent+StrategicChallenger,17,3,85.0,15.0,Win,20,0,100.0,0.0,Win,V4
59,TableNonTableAgent+TableFirstConservativeChallenger,20,0,100.0,0.0,Win,20,0,100.0,0.0,Win,Draw
60,TableNonTableAgent+Version_A_player_2,17,3,85.0,15.0,Win,11,9,55.0,45.0,Win,V3
61,TableNonTableAgent+Version_C_player_0,17,3,85.0,15.0,Win,11,9,55.0,45.0,Win,V3
62,TableNonTableAgent+Version_E_player_1,14,6,70.0,30.0,Win,12,8,60.0,40.0,Win,V3
63,Version_A_player_2+Classic,16,4,80.0,20.0,Win,11,9,55.0,45.0,Win,V3
64,Version_A_player_2+GreedyCardSpammer,18,2,90.0,10.0,Win,1,19,5.0,95.0,Loss,V3
65,Version_A_player_2+RandomAgent,12,8,60.0,40.0,Win,1,19,5.0,95.0,Loss,V3
66,Version_A_player_2+SelectiveTableConservativeChallenger,14,6,70.0,30.0,Win,10,10,50.0,50.0,Draw,V3
67,Version_A_player_2+StrategicChallenger,14,6,70.0,30.0,Win,14,6,70.0,30.0,Win,Draw
68,Version_A_player_2+TableFirstConservativeChallenger,14,6,70.0,30.0,Win,5,15,25.0,75.0,Loss,V3
69,Version_A_player_2+TableNonTableAgent,18,2,90.0,10.0,Win,6,14,30.0,70.0,Loss,V3
70,Version_A_player_2+Version_C_player_0,14,6,70.0,30.0,Win,12,8,60.0,40.0,Win,V3
71,Version_A_player_2+Version_E_player_1,13,7,65.0,35.0,Win,6,14,30.0,70.0,Loss,V3
72,Version_C_player_0+Classic,12,8,60.0,40.0,Win,8,12,40.0,60.0,Loss,V3
73,Version_C_player_0+GreedyCardSpammer,14,6,70.0,30.0,Win,7,13,35.0,65.0,Loss,V3
74,Version_C_player_0+RandomAgent,7,13,35.0,65.0,Loss,1,19,5.0,95.0,Loss,V3
